 time            v(out)          i(Lboost)       v(anode)       
 1.01250000e-06  4.66447056e+02  1.84412665e+01  4.67255557e+02 
 1.01750000e-06  4.66643191e+02  1.84329985e+01  4.67451672e+02 
 1.02250000e-06  4.66839237e+02  1.84247251e+01  4.67647699e+02 
 1.02750000e-06  4.67035196e+02  1.84164462e+01  4.67843638e+02 
 1.03250000e-06  4.67231067e+02  1.84081619e+01  4.68039488e+02 
 1.03750000e-06  4.67426849e+02  1.83998721e+01  4.68235251e+02 
 1.04250000e-06  4.67622544e+02  1.83915769e+01  4.68430925e+02 
 1.04750000e-06  4.67818150e+02  1.83832763e+01  4.68626511e+02 
 1.05250000e-06  4.68013667e+02  1.83749702e+01  4.68822009e+02 
 1.05750000e-06  4.68209097e+02  1.83666587e+01  4.69017418e+02 
 1.06250000e-06  4.68404437e+02  1.83583418e+01  4.69212739e+02 
 1.06750000e-06  4.68599690e+02  1.83500194e+01  4.69407971e+02 
 1.07250000e-06  4.68794853e+02  1.83416916e+01  4.69603115e+02 
 1.07750000e-06  4.68989929e+02  1.83333584e+01  4.69798170e+02 
 1.08250000e-06  4.69184915e+02  1.83250198e+01  4.69993136e+02 
 1.08750000e-06  4.69379813e+02  1.83166758e+01  4.70188014e+02 
 1.09250000e-06  4.69574622e+02  1.83083264e+01  4.70382802e+02 
 1.09750000e-06  4.69769342e+02  1.82999715e+01  4.70577502e+02 
 1.10250000e-06  4.69963973e+02  1.82916113e+01  4.70772113e+02 
 1.10750000e-06  4.70158515e+02  1.82832456e+01  4.70966635e+02 
 1.11250000e-06  4.70352968e+02  1.82748745e+01  4.71161068e+02 
 1.11750000e-06  4.70547332e+02  1.82664981e+01  4.71355412e+02 
 1.12250000e-06  4.70741607e+02  1.82581162e+01  4.71549667e+02 
 1.12750000e-06  4.70935793e+02  1.82497290e+01  4.71743832e+02 
 1.13250000e-06  4.71129889e+02  1.82413363e+01  4.71937908e+02 
 1.13750000e-06  4.71323896e+02  1.82329383e+01  4.72131895e+02 
 1.14250000e-06  4.71517814e+02  1.82245349e+01  4.72325793e+02 
 1.14750000e-06  4.71711642e+02  1.82161261e+01  4.72519600e+02 
 1.15250000e-06  4.71905381e+02  1.82077119e+01  4.72713319e+02 
