role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	20	26329264	5.73425537437441735e-1	9.49187868878928214e1	3.82852447962980079e2	3.82787114142243922e2	3.84083377421420266e2	-1.23942679061198013e-5	3.92312414448956215e0	3.84083377421419840e-10	1.35710956043334564e-9	-3.92313376610263731e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	20	26329265	5.73425537437441846e-1	9.49187868878888423e1	3.82852447962977806e2	3.82787114142244150e2	3.84083377421415207e2	-1.23942679434406404e-5	3.92312414433360024e0	3.84083377421414774e-10	1.37528776125143686e-9	-3.92313376596194985e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	20	26329266	5.73425537437441846e-1	9.49187868878888139e1	3.82852447962976953e2	3.82787114142244263e2	3.84083377421412990e2	-1.23942679611540679e-5	3.92312414426820677e0	3.84083377421412602e-10	1.36331318303436259e-9	-3.92313376584957041e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	20	26329267	5.73425537437441846e-1	9.49187868878888139e1	3.82852447962975987e2	3.82787114142244377e2	3.84083377421410034e2	-1.23942679833713592e-5	3.92312414418089705e0	3.84083377421409655e-10	1.38103539329797195e-9	-3.92313376583541640e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	20	26329268	5.73425537437441957e-1	9.49187868878808274e1	3.82852447962973770e2	3.82787114142244434e2	3.84083377421404464e2	-1.23942680232696654e-5	3.92312414400627896e0	3.84083377421404072e-10	1.34846780200923527e-9	-3.92313376567932437e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	21	26330446	5.73448752778621285e-1	9.36839528310900533e1	3.82842375189709742e2	3.82778329138311676e2	3.84071620256440383e2	-4.09371132274168372e-6	3.83600355417724614e0	3.84071620256439977e-10	1.38062919792181042e-9	-3.83601328330723845e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	21	26330447	5.73448752778621396e-1	9.36839528310820100e1	3.82842375189707639e2	3.82778329138311733e2	3.84071620256435608e2	-4.09371136472801001e-6	3.83600355403356730e0	3.84071620256435221e-10	1.35507811620934697e-9	-3.83601328317462276e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	21	26330448	5.73448752778621396e-1	9.36839528310820384e1	3.82842375189706729e2	3.82778329138311676e2	3.84071620256433164e2	-4.09371138672051745e-6	3.83600355395753878e0	3.84071620256432739e-10	1.37622537288057518e-9	-3.83601328308867551e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	21	26330449	5.73448752778621507e-1	9.36839528310780167e1	3.82842375189705706e2	3.82778329138311619e2	3.84071620256430151e2	-4.09371141241303251e-6	3.83600355386495329e0	3.84071620256429793e-10	1.39200544617820867e-9	-3.83601328301642752e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	22	26475110	5.76585694349402877e-1	-9.55136066597572579e1	3.80537128320794011e2	3.80467688210205210e2	3.81773401207916606e2	-5.59210335265337293e-6	4.20565413705225843e0	3.81773401207916198e-10	1.29959438117286862e-9	4.20566578948871328e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
