role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
RIGHT	11	23996272	5.26580668614575420e-1	-2.21342103970746296e0	9.30342407707113637e1	4.23277070698118774e0	3.78206221327558126e2	3.78236079713452341e2	4.23275910954833012e0	3.78305884892876293e2	3.79542661450921798e2	-8.87803742363786184e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88098755473938128e0	2.60065840901136003e0
LEFT	12	24408020	5.34907083330761979e-1	9.39382305696676951e1	-9.42762342141344911e-1	-4.16845295354323753e0	3.78626001659257668e2	3.78655893185704429e2	4.16844130038870375e0	3.78724748528181863e2	3.79960327457850383e2	-4.18348597888935877e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88165084920856307e0	2.58089391960170822e0
GROUP	12	24408021	5.34907083330762090e-1	9.39382305694835225e1	-9.42762342333539616e-1	-4.16845295343961197e0	3.78626001659257781e2	3.78655893185704542e2	4.16844130027363846e0	3.78724748528180385e2	3.79960327457846859e2	-4.18348600990694975e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88165084920856307e0	2.58089391960119841e0
GROUP	12	24408022	5.34907083330762090e-1	9.39382305701156923e1	-9.42762341701371076e-1	-4.16845295322025322e0	3.78626001659257952e2	3.78655893185704713e2	4.16844130021145709e0	3.78724748528179532e2	3.79960327457844869e2	-4.18348602727679181e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88165084920856263e0	2.58089391960092307e0
GROUP	12	24408023	5.34907083330762090e-1	9.39382305686607708e1	-9.42762343156278493e-1	-4.16845295334775301e0	3.78626001659258066e2	3.78655893185704826e2	4.16844130013349368e0	3.78724748528178452e2	3.79960327457842595e2	-4.18348604781728912e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88165084920856218e0	2.58089391960057801e0
RIGHT	12	24408024	5.34907083330762201e-1	9.39382305705209575e1	-9.42762341300100726e-1	-4.16845295317273212e0	3.78626001659258179e2	3.78655893185704940e2	4.16844129997756685e0	3.78724748528176519e2	3.79960327457838048e2	-4.18348608746728762e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88165084920856351e0	2.58089391959988834e0
LEFT	13	24677213	5.40135296293856926e-1	9.16893720274111530e1	-9.31616819677438701e-1	-3.79384326973467978e0	3.81306574871108353e2	3.81336678021756029e2	3.79383350136014785e0	3.81400085219145240e2	3.82628508310455459e2	-2.83117372568737864e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88031464962362582e0	2.55915482472053846e0
GROUP	13	24677214	5.40135296293857037e-1	9.16893720281697711e1	-9.31616818910740663e-1	-3.79384326953220352e0	3.81306574871108523e2	3.81336678021756200e2	3.79383350117860241e0	3.81400085219142852e2	3.82628508310449490e2	-2.83117377913914036e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88031464962362582e0	2.55915482471945266e0
GROUP	13	24677215	5.40135296293857037e-1	9.16893720283657387e1	-9.31616818714785189e-1	-3.79384326955914730e0	3.81306574871108637e2	3.81336678021756313e2	3.79383350109339457e0	3.81400085219141658e2	3.82628508310446762e2	-2.83117380296641222e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88031464962362538e0	2.55915482471894240e0
RIGHT	13	24677216	5.40135296293857148e-1	9.16893720288042005e1	-9.31616818268248270e-1	-3.79384326930465932e0	3.81306574871108751e2	3.81336678021756427e2	3.79383350098648053e0	3.81400085219140124e2	3.82628508310443124e2	-2.83117383484824023e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88031464962362449e0	2.55915482471830202e0
