role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	11	24821934	5.43233505587696786e-1	-2.18995767765448468e0	9.23241215542025202e1	4.16145247674439922e0	3.79025547519976328e2	3.79055470589517313e2	4.16144077031644333e0	3.79124234769687064e2	3.80359682831589566e2	-2.29833467168935455e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88230695946569160e0	2.57484306148471553e0
GROUP	11	24821935	5.43233505587696786e-1	-2.18995767743223890e0	9.23241215544248064e1	4.16145247663974960e0	3.79025547519976385e2	3.79055470589517370e2	4.16144077023510928e0	3.79124234769685984e2	3.80359682831587008e2	-2.29833469460367778e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88230695946569204e0	2.57484306148436026e0
RIGHT	11	24821936	5.43233505587696897e-1	-2.18995767687935672e0	9.23241215549856662e1	4.16145247657428907e0	3.79025547519976442e2	3.79055470589517427e2	4.16144077013749936e0	3.79124234769684790e2	3.80359682831583882e2	-2.29833472370794034e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88230695946569204e0	2.57484306148393438e0
LEFT	12	24822725	5.43249023735598580e-1	-2.19990548198712643e0	9.31371417953281053e1	4.19168523104967772e0	3.79020308939580161e2	3.79050231595549008e2	4.19167361158817542e0	3.79119456813536488e2	3.80355469321986163e2	-1.30983942724473903e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88237311100757099e0	2.59726000709831428e0
GROUP	12	24822726	5.43249023735598691e-1	-2.19990548193320068e0	9.31371417953900647e1	4.19168523098968393e0	3.79020308939580275e2	3.79050231595549121e2	4.19167361147791340e0	3.79119456813535066e2	3.80355469321982639e2	-1.30983942974434376e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88237311100757054e0	2.59726000709781024e0
GROUP	12	24822727	5.43249023735598691e-1	-2.19990548041478151e0	9.31371417969084661e1	4.19168523093508760e0	3.79020308939580445e2	3.79050231595549292e2	4.19167361141850048e0	3.79119456813534271e2	3.80355469321980991e2	-1.30983943091654097e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88237311100757010e0	2.59726000709753890e0
GROUP	12	24822728	5.43249023735598691e-1	-2.19990548093907101e0	9.31371417963841850e1	4.19168523094704515e0	3.79020308939580502e2	3.79050231595549349e2	4.19167361134422389e0	3.79119456813533247e2	3.80355469321978944e2	-1.30983943247535942e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88237311100756921e0	2.59726000709720006e0
RIGHT	12	24822729	5.43249023735598802e-1	-2.19990548074253134e0	9.31371417965807353e1	4.19168523065362741e0	3.79020308939580616e2	3.79050231595549462e2	4.19167361119566984e0	3.79119456813531428e2	3.80355469321974510e2	-1.30983943582283346e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88237311100756877e0	2.59726000709652194e0
LEFT	13	25090607	5.48446235944614391e-1	-2.09340089047087874e0	9.17247719329539848e1	3.86833987694588277e0	3.81701115063387135e2	3.81731249361944720e2	3.86833019946662393e0	3.81795746908982721e2	3.83025619113302469e2	-3.98241080824304383e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88111806231208378e0	2.57380530318372669e0
GROUP	13	25090608	5.48446235944614502e-1	-2.09340089129493512e0	9.17247719321259183e1	3.86833987680006519e0	3.81701115063387306e2	3.81731249361944890e2	3.86833019933708577e0	3.81795746908980959e2	3.83025619113298092e2	-3.98241084609264840e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88111806231208467e0	2.57380530318296996e0
GROUP	13	25090609	5.48446235944614502e-1	-2.09340089113396521e0	9.17247719322868704e1	3.86833987666947188e0	3.81701115063387363e2	3.81731249361944947e2	3.86833019926487243e0	3.81795746908979993e2	3.83025619113295591e2	-3.98241086909070761e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88111806231208467e0	2.57380530318254808e0
