role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
RIGHT	24	26330464	5.73448753175886838e-1	9.36839316386943608e1	3.82842954186287159e2	3.82779178960488650e2	3.84071843180732628e2	-4.35282566670962959e-6	3.81770798691962376e0	3.84071843180732252e-10	1.37800408593154733e-9	-3.81771771720349307e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	25	26474846	5.76577956667924885e-1	-9.51040126970689386e1	3.80540023591650197e2	3.80471058386562049e2	3.81775675273851391e2	-9.08115137999237311e-6	4.17233523266445872e0	3.81775675273851031e-10	1.22688249742152146e-9	4.17234692898083548e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	25	26474847	5.76577956667924996e-1	-9.51040126970769393e1	3.80540023591648435e2	3.80471058386562163e2	3.81775675273846957e2	-9.08115141524183555e-6	4.17233523253018035e0	3.81775675273846585e-10	1.23108983304072896e-9	4.17234692886464575e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	25	26474848	5.76577956667924996e-1	-9.51040126970769393e1	3.80540023591647525e2	3.80471058386562220e2	3.81775675273844683e2	-9.08115143353379326e-6	4.17233523246391869e0	3.81775675273844310e-10	1.22783902809828757e-9	4.17234692874089586e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	25	26474849	5.76577956667924996e-1	-9.51040126970769535e1	3.80540023591646388e2	3.80471058386562277e2	3.81775675273841955e2	-9.08115145736631207e-6	4.17233523237906390e0	3.81775675273841570e-10	1.19867468815676631e-9	4.17234692872913104e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	25	26474850	5.76577956667925107e-1	-9.51040126970809325e1	3.80540023591644228e2	3.80471058386562333e2	3.81775675273836441e2	-9.08115150240909830e-6	4.17233523220935787e0	3.81775675273836090e-10	1.18624256581759481e-9	4.17234692853509337e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	26	26475634	5.76593452193303380e-1	-9.59234520024432271e1	3.80535909565566556e2	3.80465798798181311e2	3.81773015582090238e2	-1.03543053654477035e-5	4.25053206651251436e0	3.81773015582089898e-10	1.19581723728362802e-9	4.25054367482601148e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	26	26475635	5.76593452193303491e-1	-9.59234520024511568e1	3.80535909565564282e2	3.80465798798181538e2	3.81773015582085065e2	-1.03543054053397027e-5	4.25053206634815162e0	3.81773015582084676e-10	1.18231108484334585e-9	4.25054367469107586e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	26	26475636	5.76593452193303491e-1	-9.59234520024511710e1	3.80535909565563088e2	3.80465798798181652e2	3.81773015582082223e2	-1.03543054269580435e-5	4.25053206626177893e0	3.81773015582081885e-10	1.20603007168628246e-9	4.25054367459811466e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	26	26475637	5.76593452193303602e-1	-9.59234520024551358e1	3.80535909565561667e2	3.80465798798181822e2	3.81773015582078585e2	-1.03543054552194689e-5	4.25053206614921120e0	3.81773015582078162e-10	1.21457053164096727e-9	4.25054367447523163e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
