runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.008	LL05	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
1276.909	LL05	1276.756068	4.48606593955618860e-1	69.016399	2.910012179130e-4	20136208	false	0	0
1286.924	LL05	1286.760037	4.51829011443101947e-1	69.512156	3.221139044454e-4	20285850	false	0	0
1296.938	LL05	1296.857315	4.54839956098388842e-1	69.975378	2.981937017865e-4	20441614	false	0	0
1306.953	LL05	1306.870512	4.57914802124349540e-1	70.448431	3.070793448871e-4	20594512	false	0	0
1316.967	LL05	1316.874705	4.60966721728527928e-1	70.917957	3.050640267237e-4	20740721	false	0	0
1326.983	LL05	1326.967266	4.63878979407758296e-1	71.365997	2.885548965864e-4	20892047	false	0	0
1342.006	LL05	1337.037189	4.66969260265664821e-1	71.841425	3.068822538271e-4	21041074	false	0	0
1352.020	LL05	1347.100642	4.70067610252501211e-1	72.318094	3.078814116013e-4	21194267	false	0	0
1362.035	LL05	1357.127242	4.73049530496662096e-1	72.776851	2.974009305059e-4	21348801	false	0	0
1372.048	LL05	1367.221394	4.76248503781926902e-1	73.269001	3.169135360858e-4	21497840	false	0	0
1382.064	LL05	1377.317252	4.79199752126756973e-1	73.723039	2.923226768056e-4	21649573	false	0	0
1392.081	LL05	1387.411277	4.82158942359691756e-1	74.178299	2.931625526010e-4	21801569	false	0	0
1402.095	LL05	1397.429913	4.85359635855938221e-1	74.670713	3.194739872307e-4	21950646	false	0	0
1412.109	LL05	1407.443953	4.88331534018463131e-1	75.127928	2.967731554081e-4	22104321	false	0	0
1422.124	LL05	1417.528935	4.91391494880460744e-1	75.598692	3.034175841303e-4	22256145	false	0	0
1432.139	LL05	1427.547164	4.94473579036275590e-1	76.072858	3.076475958265e-4	22403999	false	0	0
1442.156	LL05	1437.553410	4.97393653586484130e-1	76.522101	2.918251955949e-4	22555499	false	0	0
1452.171	LL05	1447.597345	5.00523741753469253e-1	77.003653	3.116396163576e-4	22705396	false	0	0
1462.186	LL05	1457.617305	5.03531278887444644e-1	77.466351	3.001545923148e-4	22854559	true	1	0
1472.201	LL05	1467.632210	5.06520187981161052e-1	77.926183	2.984460705195e-4	23008913	true	1	0
1482.215	LL05	1477.670649	5.09765344347095195e-1	78.425438	3.232730155308e-4	23159462	true	3	0
1492.228	LL05	1487.742333	5.12791863507968682e-1	78.891056	3.004978225082e-4	23314743	true	4	0
1502.241	LL05	1497.812341	5.15704048441525176e-1	79.339084	2.891939166147e-4	23462804	true	5	0
1512.256	LL05	1507.885668	5.18797055439509380e-1	79.814932	3.070492141196e-4	23607041	true	7	0
1522.271	LL05	1517.887184	5.21732110714252073e-1	80.266479	2.934610277777e-4	23758716	true	7	0
1532.286	LL05	1527.899988	5.24728256778851931e-1	80.727424	2.992314654944e-4	23907016	true	11	0
