time v(acsrc) v(acn) i(Vac) v(load) v(vb) i(Lboost) v(vd) v(sw) v(gate) v(q) v(en) v(fault) v(vcomp) v(icomp)
1.79081318363806795e-7 5.76838325575463988e-3 -5.68879434372303143e-3 -6.39806116981694872e-6 3.45358541332224087e-25 1.81767653367285376e-15 4.82119961454574663e-9 1.64576904800976651e-12 4.07288369422129936e-7 2.96958478212550861e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951658616304e0 -4.61870006199819869e-288 1.45452125782228370e0
1.83732956130959838e-7 5.91749691091296784e-3 -5.83728090967927660e-3 -6.39807066622061216e-6 3.90806231740272100e-25 2.05687490428697519e-15 5.18024524995543514e-9 1.81228557054863438e-12 4.49873723620055484e-7 3.26107039539788090e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048299832223e0 -4.61867956624047575e-288 1.48091980980284155e0
1.88378506275658300e-7 6.06641798670804963e-3 -5.98557058401090296e-3 -6.39808027926361267e-6 4.40710921452050203e-25 2.31953116597781738e-15 5.55391977280956382e-9 1.99005578359909832e-12 4.95518644385515648e-7 3.57117594363906259e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951741737991e0 -4.61865909739648756e-288 1.50683377603465618e0
1.93029254084953483e-7 6.21550790037626519e-3 -6.13402395409265964e-3 -6.39809003639621454e-6 4.95499246590503599e-25 2.60789077202446569e-15 5.94316800995061927e-9 2.17991112849642459e-12 5.44461928874668137e-7 3.90121542132665063e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048216774129e0 -4.61863860574189968e-288 1.53233393213634894e0
1.97675563062955624e-7 6.36445738220997159e-3 -6.28233377057918398e-3 -6.39809992250203741e-6 5.55375413920488888e-25 2.92302849487373804e-15 6.34720701274647472e-9 2.38185814806816032e-12 5.96731767309709631e-7 4.25105940300280068e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951824717748e0 -4.61861813373608580e-288 1.55737488041935435e0
2.02325662080621363e-7 6.51352987755469525e-3 -6.43076305083199479e-3 -6.39810995953227213e-6 6.20771813156442748e-25 3.26722006986520759e-15 6.76674758189755605e-9 2.59664381604177646e-12 6.52549128607024061e-7 4.62185729601883758e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048133859831e0 -4.61859764512197016e-288 1.58200849258070764e0
2.07021959011466599e-7 6.66408456028466135e-3 -6.58066577130229403e-3 -6.39812024542593671e-6 6.92717746977789197e-25 3.64588287952318749e-15 7.20583763622284997e-9 2.82682497561148106e-12 7.12611327816060098e-7 5.01785165302681568e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951907120010e0 -4.61857695304939789e-288 1.60645995003243125e0
2.12273536447930739e-7 6.83244147066879980e-3 -6.74829173045745755e-3 -6.39813192921181995e-6 7.80640466154567736e-25 4.10863403317310220e-15 7.71509249261808103e-9 3.10049197482903835e-12 7.84332899264085991e-7 5.48691031527073610e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048056262791e0 -4.61855381449851857e-288 1.63330364489206370e0
2.17847924990718900e-7 7.01114773280089865e-3 -6.92622098991598802e-3 -6.39814455183004838e-6 8.83150264177486838e-25 4.64815928602781822e-15 8.27662268928064992e-9 3.41034350181240986e-12 8.65925586324326693e-7 6.01584738464965127e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951978208568e0 -4.61852925376262810e-288 1.66123199586811610e0
2.24068001318897947e-7 7.21055369957281870e-3 -7.12476004405548664e-3 -6.39815890903297491e-6 1.00947136859482270e-24 5.31300720414011759e-15 8.92849198105931291e-9 3.78037310634849664e-12 9.63876079593986450e-7 6.64473312411756107e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000047990919683e0 -4.61850184828295709e-288 1.69172241367700327e0
2.30748711571681920e-7 7.42472591633007092e-3 -7.33800306152239921e-3 -6.39817466617162434e-6 1.16017471450073773e-24 6.10618270905879473e-15 9.65803472934843332e-9 4.20724682259717487e-12 1.07752573610235083e-6 7.36673949869985776e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999952037805784e0 -4.61847241344454238e-288 1.72369801962217739e0
2.38274421307092191e-7 7.66598495344632085e-3 -7.57822022481056089e-3 -6.39819283923190318e-6 1.35002211708407267e-24 7.10537956495040469e-15 1.05157691113900443e-8 4.72584327775170664e-12 1.21648126522767698e-6 8.23922597562028522e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000047936708558e0 -4.61843925581016244e-288 1.75878341586300202e0
2.46545931335854867e-7 7.93114825503596355e-3 -7.84224757223711197e-3 -6.39821335927936996e-6 1.58520727573675926e-24 8.34319618967341421e-15 1.15015119905645800e-8 5.34346530066662252e-12 1.38316057627968867e-6 9.27217236983704816e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999952086467392e0 -4.61840281251816888e-288 1.79623469770333388e0
2.56032199703820461e-7 8.23524535266373717e-3 -8.14505834214076380e-3 -6.39823760749391734e-6 1.89212657896748823e-24 9.95856094382627642e-15 1.26859121793931066e-8 6.11527247612484635e-12 1.59315608145529046e-6 1.05543752450289268e-8 0.00000000000000000e0 1.40779337255100529e-19 5.00000047893333477e0 -4.61836101749928035e-288 1.83779803191930236e0
2.66765922178629802e-7 8.57931771360161653e-3 -8.48770286109412110e-3 -6.39826601218917990e-6 2.29179051434002634e-24 1.20620553409235087e-14 1.40928661217889907e-8 7.07307165867797323e-12 1.85621727578935847e-6 1.21334410623156764e-8 0.00000000000000000e0 1.40779337255100529e-19 4.99999952124511005e0 -4.61831372684856690e-288 1.88310033637597574e0
2.79433144647264387e-7 8.98534517554870280e-3 -8.89209280159950627e-3 -6.39830087550974369e-6 2.84233254549314828e-24 1.49596449791220619e-14 1.58396293046667653e-8 8.32258430635496442e-12 2.20321711673008753e-6 1.41751360176798870e-8 0.00000000000000000e0 1.40779337255100529e-19 5.00000047860373442e0 -4.61825791820400460e-288 1.93429937963051413e0
2.94382854655336047e-7 9.46449364860704571e-3 -9.36938960890917709e-3 -6.39834397693495038e-6 3.61417008507258059e-24 1.90219478197856477e-14 1.80123570767152057e-8 9.96824225954164997e-12 2.66635396009455880e-6 1.68357163517684964e-8 0.00000000000000000e0 1.40779337255100529e-19 4.99999952152430449e0 -4.61819205435291100e-288 1.99171688951519932e0
3.12903645697530881e-7 1.00580248690238395e-2 -9.96077255465158996e-3 -6.39840033236221961e-6 4.77659074826028410e-24 2.51399513114096644e-14 2.08521042135216076e-8 1.22702978425166544e-11 3.32505666949613767e-6 2.05091733995134003e-8 0.00000000000000000e0 1.40779337255100529e-19 5.00000047837236838e0 -4.61811045871426435e-288 2.05858709775155635e0
3.31768763898727816e-7 1.06624948196811006e-2 -1.05632459647476851e-2 -6.39846138119487540e-6 6.22399393728994052e-24 3.27578628340657880e-14 2.38867903363376887e-8 1.49191902278425210e-11 4.09739126125175206e-6 2.46745313409891705e-8 0.00000000000000000e0 1.40779337255100529e-19 4.99999952172905093e0 -4.61802734758275976e-288 2.12214399224592709e0
3.50518818803052289e-7 1.12631704091815527e-2 -1.11621522712691164e-2 -6.39852542990565487e-6 7.95785267734874008e-24 4.18834351518985884e-14 2.70133236356730100e-8 1.78564846703404829e-11 4.97069530871645946e-6 2.92243770494213072e-8 0.00000000000000000e0 1.40779337255100529e-19 5.00000047816892845e0 -4.61794474485086427e-288 2.18106066956526412e0
3.68811621029287152e-7 1.18490858612052778e-2 -1.17465648246743801e-2 -6.39859130380227015e-6 9.96348727061620449e-24 5.24394066974171981e-14 3.01368275109132884e-8 2.10105381759154030e-11 5.92728476931253917e-6 3.40363206862451139e-8 0.00000000000000000e0 1.40779337255100529e-19 4.99999952193561814e0 -4.61786415795500188e-288 2.23472675713505220e0
3.87283043130600713e-7 1.24406054369485021e-2 -1.23368009087300515e-2 -6.39866087796814309e-6 1.23332079646233884e-23 6.49116208787720998e-14 3.33296054765185126e-8 2.44753503867425729e-11 6.99993048761129165e-6 3.92408404730767046e-8 0.00000000000000000e0 1.40779337255100529e-19 5.00000047796086733e0 -4.61778278559715250e-288 2.28534952683242443e0
