time_s v_ac_v i_ac_a v_load_v i_load_a v_b_v i_l_a v_d_v v_ds_v v_gs_v armed on
1.54910268227129431e-5 9.91071756719593799e-1 4.03706370819545413e-5 1.22594325257449998e-18 6.45233290828684170e-21 6.45233290951278537e-9 3.08338235067523268e-5 7.92440656880932785e-8 1.78013028737711132e-1 7.44639577185242997e-5 0.00000000000000000e0 0.00000000000000000e0
1.54911068227129419e-5 9.91076874833459187e-1 4.03709254033213227e-5 1.22597618372433032e-18 6.45250623012805447e-21 6.45250623135403101e-9 3.08340696419104804e-5 7.92449591708612653e-8 1.78017538929562125e-1 7.44646205126630863e-5 0.00000000000000000e0 0.00000000000000000e0
1.54912668227129429e-5 9.91087111061187742e-1 4.03714981460634448e-5 1.22604204667555467e-18 6.45285287723976153e-21 6.45285287846580383e-9 3.08345618915549958e-5 7.92467460758793157e-8 1.78026559385298211e-1 7.44659460372677832e-5 0.00000000000000000e0 0.00000000000000000e0
1.54915868227129416e-5 9.91107583516633417e-1 4.03726270505888607e-5 1.22617377648703602e-18 6.45354619203703136e-21 6.45354619326320570e-9 3.08355462668356316e-5 7.92503195224071375e-8 1.78044600728839930e-1 7.44685967036107498e-5 0.00000000000000000e0 0.00000000000000000e0
1.54922268227129423e-5 9.91148528427481690e-1 4.03748381547774926e-5 1.22643725174265440e-18 6.45493290390870733e-21 6.45493290513514536e-9 3.08375145215009560e-5 7.92574649619709460e-8 1.78080685143868850e-1 7.44738965059665262e-5 0.00000000000000000e0 0.00000000000000000e0
1.54935068227129404e-5 9.91230418249005263e-1 4.03791632190841909e-5 1.22696426475673699e-18 6.45770665661440537e-21 6.45770665784136924e-9 3.08414490473993131e-5 7.92717500302692151e-8 1.78152860882755198e-1 7.44844899957147663e-5 0.00000000000000000e0 0.00000000000000000e0
1.54960668227129365e-5 9.91394197891359741e-1 4.03876895209709375e-5 1.22801854057429294e-18 6.46325547670680468e-21 6.46325547793482407e-9 3.08493101604538140e-5 7.93002969510864355e-8 1.78297239972822236e-1 7.45056525712544315e-5 0.00000000000000000e0 0.00000000000000000e0
1.55011868227129288e-5 9.91721757173298135e-1 4.04046561577331431e-5 1.23012808959460047e-18 6.47435836628737070e-21 6.47435836751749899e-9 3.08650005666934716e-5 7.93572981395220589e-8 1.78586108416139588e-1 7.45478805280433583e-5 0.00000000000000000e0 0.00000000000000000e0
1.55110268227129429e-5 9.92351285157900498e-1 4.04371265732006435e-5 1.23418610017429731e-18 6.49571631670682813e-21 6.49571631794101441e-9 3.08950359163703635e-5 7.94665019023003871e-8 1.79141688887297756e-1 7.46286764063984665e-5 0.00000000000000000e0 0.00000000000000000e0
1.55111268227129431e-5 9.92357682799950402e-1 4.04374559608289275e-5 1.23422736546069938e-18 6.49593350242473390e-21 6.49593350365896086e-9 3.08953403360410551e-5 7.94676093451796424e-8 1.79147337832441522e-1 7.46294950490994716e-5 0.00000000000000000e0 0.00000000000000000e0
