wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
1125.975980	4.03466702178691461e-1	62.071800	3.056964498363e-4	17586502	false	0	0
1135.986206	4.06399591780329639e-1	62.523014	2.929893602311e-4	17737915	false	0	0
1146.025628	4.09506772476671665e-1	63.001042	3.094979564530e-4	17880696	false	0	0
1156.118677	4.12363646094898728e-1	63.440561	2.830535649313e-4	18026285	false	0	0
1166.147920	4.15198505110167204e-1	63.876693	2.826593408287e-4	18171470	false	0	0
1176.256714	4.18375876700582572e-1	64.365519	3.143175594779e-4	18316563	false	0	0
1186.261897	4.21077319682919837e-1	64.781126	2.700043594833e-4	18455513	false	0	0
1196.327971	4.23827853934578724e-1	65.204285	2.732479586252e-4	18595305	false	0	0
1206.432946	4.26847500788264611e-1	65.668846	2.988277571840e-4	18732961	false	0	0
1216.440632	4.29558584001757726e-1	66.085936	2.709001018963e-4	18872584	false	0	0
1226.458913	4.32331497727042990e-1	66.512538	2.767853777197e-4	19012746	false	0	0
1236.532363	4.35406446278235604e-1	66.985607	3.052527646495e-4	19154292	false	0	0
1246.623194	4.38236342354205555e-1	67.420976	2.804423207753e-4	19300051	false	0	0
1256.712396	4.41215586010201555e-1	67.879321	2.952903278901e-4	19446710	false	0	0
1266.812942	4.44290631087045029e-1	68.352405	3.044434644011e-4	19592163	false	0	0
1276.885772	4.47104730516596272e-1	68.785343	2.793752414219e-4	19737962	false	0	0
1286.903973	4.50115042434158619e-1	69.248468	3.004842953145e-4	19882412	false	0	0
1296.927351	4.53112676558962202e-1	69.709643	2.990642463880e-4	20027438	false	0	0
1307.027131	4.55955140187750740e-1	70.146945	2.814381576875e-4	20174483	false	0	0
1317.032153	4.59015482976693867e-1	70.617767	3.058806847320e-4	20317730	false	0	0
1327.032658	4.61929895581989935e-1	71.066138	2.914265313373e-4	20462493	false	0	0
1337.053232	4.64748399375174259e-1	71.499754	2.812716956291e-4	20607856	false	0	0
1347.087247	4.67853656129010198e-1	71.977486	3.094730055239e-4	20750267	false	0	0
1357.090416	4.70767607640321328e-1	72.425786	2.913028506285e-4	20898468	false	0	0
