 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(pwm_input)             v(drv_req)               v(drv)                   v(gate)                 
 2.56990365277232014e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.78296494427264717e-04  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  7.04983975815837383e-01  2.41391239886497690e-03 
 2.56990365511683472e-01  5.00000000000000000e+00  5.00000000000000000e+00  7.12747955106183065e-04  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  8.81726669499947269e-01  3.80768364841051199e-03 
 2.56990365980586388e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.18165087646401965e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.22808236156830719e+00  7.50883405985458465e-03 
 2.56990366731726927e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.93279140680961171e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.76366368112399186e+00  1.58953253094943001e-02 
 2.56990367645648810e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.84671328764703841e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  2.38461337609516866e+00  2.99975946002835302e-02 
 2.56990368829490334e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.03055483365690088e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  3.14161056441526521e+00  5.42298250978909477e-02 
 2.56990370229307874e-01  5.00000000000000000e+00  5.00000000000000000e+00  5.43037239443572989e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  3.97226614146326229e+00  9.09211847394005429e-02 
 2.56990371972910026e-01  5.00000000000000000e+00  5.00000000000000000e+00  7.17397454651130546e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  4.91725345583267792e+00  1.47655603610332475e-01 
 2.56990374020496626e-01  5.00000000000000000e+00  5.00000000000000000e+00  9.22156114551041413e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  5.91212386822459735e+00  2.28163447594147001e-01 
 2.56990376507166218e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.17082307529972340e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  6.97281491457336777e+00  3.43329496253891420e-01 
 2.56990379417463499e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.46185280226090349e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  8.03627400348973175e+00  4.98406227062666962e-01 
 2.56990382910167070e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.81112315910494544e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  9.09954787471508375e+00  7.07664909110138685e-01 
 2.56990387013044830e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.22141093512195839e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.01062774792065202e+01  9.78016684310600071e-01 
 2.56990391938398899e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.71394634156800901e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.10436575939810471e+01  1.32709276234832263e+00 
 2.56990397799436998e-01  5.00000000000000000e+00  5.00000000000000000e+00  3.30005015411225441e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.18696263056933358e+01  1.76401123296704898e+00 
 2.56990404701950281e-01  5.00000000000000000e+00  5.00000000000000000e+00  3.99030148248857297e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.25550375827238003e+01  2.29270988832204337e+00 
 2.56990412356970677e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.75580352251291152e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.30688503989900475e+01  2.88136873739942745e+00 
 2.56990421279090164e-01  5.00000000000000000e+00  5.00000000000000000e+00  5.64801547196464790e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.34601099239491848e+01  3.55541679199078331e+00 
 2.56990431544402154e-01  5.00000000000000000e+00  5.00000000000000000e+00  6.67454667219642278e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.37440074163620345e+01  4.30209224316717531e+00 
 2.56990443960534110e-01  5.00000000000000000e+00  5.00000000000000000e+00  7.91615986582260150e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.39562798478285739e+01  5.15366223421460123e+00 
 2.56990458967343904e-01  5.00000000000000000e+00  5.00000000000000000e+00  9.41684084798709853e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.41159539837776400e+01  6.10218990888810620e+00 
 2.56990478195742944e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.13396807492889135e-01  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.42507895980401518e+01  7.19131351322257029e+00 
 2.56990503512014024e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.38713078556023078e-01  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.43780547247864572e+01  8.42845964269802828e+00 
 2.56990539872135881e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.75073200432292658e-01  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.45163903908223588e+01  9.87427863590503030e+00 
 2.56990562212805473e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.97413870024350707e-01  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000018e+01  1.45846158505391763e+01  1.05975168796932255e+01 
