role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	7	23664274	5.23358572808415246e-1	9.73840217643072208e1	-1.05558015385572901e0	-8.44071968710768594e0	3.76168933738905707e2	3.76223128882557717e2	8.44071063078910910e0	3.76355511775536968e2	3.77659360886926947e2	-1.25718397660615023e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32706638926877618e0	3.44480405525614319e0
RIGHT	7	23664275	5.23358572808415357e-1	9.73840217684932838e1	-1.05558014966966596e0	-8.44071967477888485e0	3.76168933738905878e2	3.76223128882557887e2	8.44071063061697480e0	3.76355511775535035e2	3.77659360886922286e2	-1.25718397989100584e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32706638926877662e0	3.44480405525501032e0
LEFT	8	23665433	5.23381803995568773e-1	9.61713831276467204e1	-1.05378055035957630e0	-8.36761417025550003e0	3.76155004501536041e2	3.76209197638384865e2	8.36760501707702886e0	3.76340515676185248e2	3.77643318742730969e2	-1.13137809354715339e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32691944657237570e0	3.41407805362819294e0
GROUP	8	23665434	5.23381803995568884e-1	9.61713831266058179e1	-1.05378055139652815e0	-8.36761416727134133e0	3.76155004501536325e2	3.76209197638385149e2	8.36760501693385628e0	3.76340515676183657e2	3.77643318742726990e2	-1.13137809642265610e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32691944657237659e0	3.41407805362728656e0
GROUP	8	23665435	5.23381803995568884e-1	9.61713831270112394e1	-1.05378055099110668e0	-8.36761420731064476e0	3.76155004501536496e2	3.76209197638385319e2	8.36760501686900504e0	3.76340515676182918e2	3.77643318742725342e2	-1.13137809768904642e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32691944657237570e0	3.41407805362687711e0
GROUP	8	23665436	5.23381803995568884e-1	9.61713831267111203e1	-1.05378055129122572e0	-8.36761413581199953e0	3.76155004501536609e2	3.76209197638385433e2	8.36760501678475066e0	3.76340515676182065e2	3.77643318742723295e2	-1.13137809920970908e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32691944657237526e0	3.41407805362634376e0
RIGHT	8	23665437	5.23381803995568995e-1	9.61713831285264718e1	-1.05378054947190947e0	-8.36761414967094375e0	3.76155004501536837e2	3.76209197638385660e2	8.36760501661624012e0	3.76340515676180019e2	3.77643318742719146e2	-1.13137810216509174e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32691944657237526e0	3.41407805362527661e0
LEFT	9	23666988	5.23412763425898375e-1	9.45456925234620513e1	-1.04945473281343027e0	-8.19237951288598865e0	3.76135685895225322e2	3.76189876248817598e2	8.19237024681926052e0	3.76318594905424845e2	3.77618879245450387e2	-4.38968604225254760e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32672608794305358e0	3.37185036386933534e0
GROUP	9	23666989	5.23412763425898486e-1	9.45456925240631563e1	-1.04945473221232533e0	-8.19237954308099070e0	3.76135685895225492e2	3.76189876248817768e2	8.19237024669050662e0	3.76318594905423367e2	3.77618879245447033e2	-4.38968607086495040e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32672608794305269e0	3.37185036386851067e0
GROUP	9	23666990	5.23412763425898486e-1	9.45456925182440813e1	-1.04945473803140032e0	-8.19237954056248441e0	3.76135685895225549e2	3.76189876248817825e2	8.19237024662185220e0	3.76318594905422458e2	3.77618879245445157e2	-4.38968608671743713e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32672608794305269e0	3.37185036386807102e0
