role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
RIGHT	49	27148336	6.01929066601262774e-1	1.00427982781437265e2	-1.11199049227286650e0	-1.07856764307306179e1	3.75827688935024923e2	3.75876420317090151e2	1.07856656971594358e1	3.76043487693409929e2	3.77379663468891408e2	-1.04108691603362446e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48520624367755971e0	3.75132756044622706e0
LEFT	50	27379331	6.06467916255936768e-1	9.76756248625022039e1	-1.09763980968340036e0	-1.01802131322557230e1	3.80365334852092928e2	3.80414654604210114e2	1.01802037759509485e1	3.80572873625551210e2	3.81900902785407254e2	-5.91075366051115839e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48322679910369848e0	3.70236528900435902e0
GROUP	50	27379332	6.06467916255936879e-1	9.76756248633751483e1	-1.09763980880381951e0	-1.01802131686906847e1	3.80365334852093270e2	3.80414654604210455e2	1.01802037758015622e1	3.80572873625549732e2	3.81900902785403332e2	-5.91075369271823350e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48322679910369759e0	3.70236528900336381e0
GROUP	50	27379333	6.06467916255936879e-1	9.76756248628656465e1	-1.09763980931332128e0	-1.01802131508449953e1	3.80365334852093440e2	3.80414654604210625e2	1.01802037757225605e1	3.80572873625549107e2	3.81900902785401229e2	-5.91075371082237775e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48322679910369715e0	3.70236528900283801e0
RIGHT	50	27379334	6.06467916255936990e-1	9.76756248649041225e1	-1.09763980727154831e0	-1.01802131094212953e1	3.80365334852093554e2	3.80414654604210739e2	1.01802037756205301e1	3.80572873625548141e2	3.81900902785398614e2	-5.91075373213463472e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48322679910369715e0	3.70236528900215944e0
LEFT	51	27380497	6.06491141186570659e-1	9.66560169530549160e1	-1.09346356642248566e0	-1.00050662810143507e1	3.80358582635509777e2	3.80407901512106434e2	1.00050568273026528e1	3.80563523253062044e2	3.81889172528594258e2	-2.35231964425187966e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48307871948429826e0	3.65864169316145471e0
GROUP	51	27380498	6.06491141186570770e-1	9.66560169550619293e1	-1.09346356440880754e0	-1.00050662541374766e1	3.80358582635510118e2	3.80407901512106775e2	1.00050568271823526e1	3.80563523253060566e2	3.81889172528590905e2	-2.35231967282798456e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48307871948429781e0	3.65864169316065668e0
GROUP	51	27380499	6.06491141186570770e-1	9.66560169516933883e1	-1.09346356777734854e0	-1.00050663403574998e1	3.80358582635510174e2	3.80407901512106832e2	1.00050568271175244e1	3.80563523253059770e2	3.81889172528589086e2	-2.35231968869701385e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48307871948429737e0	3.65864169316022636e0
GROUP	51	27380500	6.06491141186570770e-1	9.66560169545314238e1	-1.09346356493931296e0	-1.00050663096937598e1	3.80358582635510231e2	3.80407901512106889e2	1.00050568270358831e1	3.80563523253058804e2	3.81889172528586926e2	-2.35231970875802062e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48307871948429693e0	3.65864169315968457e0
RIGHT	51	27380501	6.06491141186570881e-1	9.66560169517282901e1	-1.09346356773910713e0	-1.00050662751622568e1	3.80358582635510629e2	3.80407901512107287e2	1.00050568268725968e1	3.80563523253056815e2	3.81889172528582662e2	-2.35231974635045159e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48307871948429604e0	3.65864169315860144e0
LEFT	52	27780498	6.14771114647028605e-1	-4.21500597516258324e0	9.58753469577479507e1	1.03837049046523475e1	3.80793518177485055e2	3.80842893449633948e2	1.03836956107783944e1	3.81004126604641783e2	3.82334907358626424e2	-8.00066912880870824e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48534069250521439e0	3.74234054658700765e0
GROUP	52	27780499	6.14771114647028716e-1	-4.21500597468229987e0	9.58753469582216979e1	1.03837049046063612e1	3.80793518177485339e2	3.80842893449634232e2	1.03836956106197977e1	3.81004126604639907e2	3.82334907358622274e2	-8.00066916144072199e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48534069250521350e0	3.74234054658597781e0
