 time                     v(out)                  
 1.65949999999996005e-03  8.09765950055497563e-01 
 1.66049999999995997e-03  8.09956089035951621e-01 
 1.66149999999995988e-03  8.10146037972447330e-01 
 1.66249999999995980e-03  8.10335797054933527e-01 
 1.66349999999995972e-03  8.10525366473169306e-01 
 1.66449999999995963e-03  8.10714746416724141e-01 
 1.66549999999995955e-03  8.10903937074978098e-01 
 1.66649999999995946e-03  8.11092938637121730e-01 
 1.66749999999995938e-03  8.11281751292156961e-01 
 1.66849999999995930e-03  8.11470375228896312e-01 
 1.66949999999995921e-03  8.11658810635963568e-01 
 1.67049999999995913e-03  8.11847057701794439e-01 
 1.67149999999995904e-03  8.12035116614635899e-01 
 1.67249999999995896e-03  8.12222987562547183e-01 
 1.67349999999995887e-03  8.12410670733399121e-01 
 1.67449999999995879e-03  8.12598166314874581e-01 
 1.67549999999995871e-03  8.12785474494469695e-01 
 1.67649999999995862e-03  8.12972595459492631e-01 
 1.67749999999995854e-03  8.13159529397064262e-01 
 1.67849999999995845e-03  8.13346276494118503e-01 
 1.67949999999995837e-03  8.13532836937402415e-01 
 1.68049999999995829e-03  8.13719210913476765e-01 
 1.68149999999995820e-03  8.13905398608715469e-01 
 1.68249999999995812e-03  8.14091400209306260e-01 
 1.68349999999995803e-03  8.14277215901250684e-01 
 1.68449999999995795e-03  8.14462845870364771e-01 
 1.68549999999995787e-03  8.14648290302278366e-01 
 1.68649999999995778e-03  8.14833549382435907e-01 
 1.68749999999995770e-03  8.15018623296096534e-01 
 1.68849999999995761e-03  8.15203512228334204e-01 
 1.68949999999995753e-03  8.15388216364037799e-01 
 1.69049999999995744e-03  8.15572735887911793e-01 
 1.69149999999995736e-03  8.15757070984475474e-01 
 1.69249999999995728e-03  8.15941221838064168e-01 
 1.69349999999995719e-03  8.16125188632828680e-01 
 1.69449999999995711e-03  8.16308971552735851e-01 
 1.69549999999995702e-03  8.16492570781568561e-01 
 1.69649999999995694e-03  8.16675986502926055e-01 
 1.69749999999995686e-03  8.16859218900224282e-01 
 1.69849999999995677e-03  8.17042268156695672e-01 
 1.69949999999995669e-03  8.17225134455389579e-01 
 1.70049999999995660e-03  8.17407817979172169e-01 
 1.70149999999995652e-03  8.17590318910726865e-01 
 1.70249999999995644e-03  8.17772637432555016e-01 
 1.70349999999995635e-03  8.17954773726975004e-01 
 1.70449999999995627e-03  8.18136727976123357e-01 
 1.70549999999995618e-03  8.18318500361954082e-01 
 1.70649999999995610e-03  8.18500091066239777e-01 
 1.70749999999995601e-03  8.18681500270571183e-01 
 1.70849999999995593e-03  8.18862728156357522e-01 
 1.70949999999995585e-03  8.19043774904826938e-01 
 1.71049999999995576e-03  8.19224640697026052e-01 
 1.71149999999995568e-03  8.19405325713820520e-01 
 1.71249999999995559e-03  8.19585830135895588e-01 
