runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.005	LL01	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
1217.435	LL01	1216.234933	4.23633300578511562e-1	65.174354	2.865630464499e-4	18681385	false	0	0
1227.461	LL01	1226.318629	4.26770204846852685e-1	65.656955	3.110867718185e-4	18827542	false	0	0
1237.490	LL01	1236.360460	4.29646774080243210e-1	66.099504	2.864586156451e-4	18977230	false	0	0
1247.515	LL01	1246.464877	4.32625997126922068e-1	66.557846	2.948436577599e-4	19127281	false	0	0
1257.540	LL01	1256.490829	4.35685392065683408e-1	67.028522	3.051475761376e-4	19273035	false	0	0
1267.559	LL01	1266.586606	4.38566462594298268e-1	67.471763	2.853738114701e-4	19423352	false	0	0
1277.585	LL01	1276.656113	4.41540939250549769e-1	67.929375	2.953944685334e-4	19570276	false	0	0
1287.607	LL01	1286.746574	4.44564415141020020e-1	68.394525	2.996370461097e-4	19717081	false	0	0
1297.633	LL01	1296.764261	4.47419581507006614e-1	68.833782	2.850125266205e-4	19865824	false	0	0
1307.660	LL01	1306.832851	4.50455844464258348e-1	69.300899	3.015579087624e-4	20011758	false	0	0
1317.685	LL01	1316.841585	4.53394634334279789e-1	69.753021	2.936225554137e-4	20158568	false	0	0
1327.703	LL01	1326.865889	4.56257215216338552e-1	70.193418	2.855640450409e-4	20307306	false	0	0
1337.726	LL01	1336.869956	4.59318038303274445e-1	70.664314	3.059578743411e-4	20451768	false	0	0
1347.749	LL01	1346.935066	4.62229317630235059e-1	71.112203	2.892446583250e-4	20600110	false	0	0
1357.777	LL01	1356.996242	4.65102892351373365e-1	71.554291	2.856102360149e-4	20749520	false	0	0
1367.802	LL01	1367.012317	4.68225801143766385e-1	72.034739	3.117896630759e-4	20894716	false	0	0
1377.827	LL01	1377.027607	4.71093423716984872e-1	72.475911	2.863244683836e-4	21043749	false	0	0
1387.854	LL01	1387.093934	4.74026788018210521e-1	72.927198	2.914036348153e-4	21193306	false	0	0
1397.872	LL01	1397.195082	4.77154628893204147e-1	73.408404	3.096520192550e-4	21340541	false	0	0
1407.892	LL01	1407.279356	4.80043847450292160e-1	73.852900	2.865073413622e-4	21491273	false	0	0
1417.918	LL01	1417.365968	4.83011160941588968e-1	74.309409	2.941833717872e-4	21639842	false	0	0
1427.940	LL01	1427.366037	4.86057206379650997e-1	74.778032	3.046024521925e-4	21786083	false	0	0
1437.969	LL01	1437.415986	4.88921151638020579e-1	75.218639	2.849711152920e-4	21935681	false	0	0
1447.995	LL01	1447.441541	4.91948542387238452e-1	75.684391	3.019674110631e-4	22082198	false	0	0
1458.022	LL01	1457.504405	4.94930786265532385e-1	76.143198	2.963613222459e-4	22230249	false	0	0
1468.047	LL01	1467.591130	4.97811894940802580e-1	76.586445	2.856337339622e-4	22380402	false	0	0
1478.068	LL01	1477.619596	5.00879278605980582e-1	77.058351	3.058676772258e-4	22525586	false	0	0
1488.094	LL01	1487.709379	5.03832133372854596e-1	77.512636	2.926579025824e-4	22674978	true	2	0
1498.115	LL01	1497.795570	5.06719253964351690e-1	77.956808	2.862448752116e-4	22824481	true	3	0
1508.141	LL01	1507.866045	5.09856448767566528e-1	78.439454	3.115240251281e-4	22970110	true	3	0
1518.166	LL01	1517.902691	5.12731750173133882e-1	78.881808	2.864802869920e-4	23119047	true	7	0
1528.195	LL01	1527.972690	5.15651197435177511e-1	79.330953	2.899153693541e-4	23268225	true	8	0
1538.220	LL01	1537.979761	5.18748035912188321e-1	79.807390	3.094650133852e-4	23413640	true	8	0
1548.239	LL01	1548.066096	5.21624796704747040e-1	80.249969	2.852136927718e-4	23563711	true	8	0
1558.266	LL01	1558.118586	5.24572643738683175e-1	80.703484	2.932454579847e-4	23711019	true	8	0
1568.289	LL01	1568.119461	5.27624736792114746e-1	81.173036	3.051825993327e-4	23856915	true	9	0
1578.310	LL01	1578.151243	5.30461459623950526e-1	81.609455	2.827735581225e-4	24004907	true	9	0
1588.335	LL01	1588.173187	5.33461411444158817e-1	82.070986	2.993383326922e-4	24151065	true	9	0
1598.360	LL01	1598.216055	5.36462006593492635e-1	82.532616	2.987786992014e-4	24298206	true	11	0
1608.386	LL01	1608.306621	5.39338008087098308e-1	82.975078	2.850188606015e-4	24448226	true	11	0
1618.411	LL01	1618.337156	5.42402815377212466e-1	83.446587	3.055477453569e-4	24594096	true	12	0
1628.424	LL01	1628.373827	5.45361601890011038e-1	83.901785	2.947975855228e-4	24742608	true	13	0
1643.462	LL01	1638.451167	5.48227606298095194e-1	84.342709	2.844008773132e-4	24891492	true	13	0
1653.488	LL01	1648.454636	5.51334942417756935e-1	84.820760	3.106258791456e-4	25036357	true	13	0
1658.500	LL01	1658.478665	5.54222465636200923e-1	85.264995	2.880601301743e-4	25184792	true	15	0
1668.524	LL01	1668.499842	5.57096380778737577e-1	85.707136	2.867841937469e-4	25332505	true	18	0
1683.564	LL01	1678.541203	5.60204168630090815e-1	86.185257	3.094986664013e-4	25477603	true	18	0
1693.589	LL01	1688.644252	5.63078741810681072e-1	86.627499	2.845253190454e-4	25627074	true	18	0
1703.617	LL01	1698.719256	5.66018885646696779e-1	87.079829	2.918255533344e-4	25774933	true	18	0
1713.638	LL01	1708.809157	5.69078363562903644e-1	87.550517	3.032217985725e-4	25920579	true	21	0
1723.658	LL01	1718.822767	5.71900507933964186e-1	87.984694	2.818308711806e-4	26068146	true	21	0
1733.685	LL01	1728.857891	5.74857176638463474e-1	88.439566	2.946319988593e-4	26214119	true	21	0
1743.715	LL01	1738.891174	5.77878749141309989e-1	88.904423	3.011549301536e-4	26360003	true	21	0
1753.741	LL01	1748.976976	5.80727765878755298e-1	89.342733	2.824779528822e-4	26508697	true	21	0
1763.762	LL01	1758.999580	5.83750448350665030e-1	89.807761	3.015865434713e-4	26654014	true	24	0
1773.787	LL01	1769.054725	5.86718317776352971e-1	90.264357	2.951592854495e-4	26801624	true	26	0
1783.813	LL01	1779.089556	5.89573149608778713e-1	90.703561	2.844922741484e-4	26950304	true	26	0
1793.834	LL01	1789.138939	5.92655878565934602e-1	91.177827	3.067580274259e-4	27095479	true	30	0
1803.859	LL01	1799.205633	5.95573461418319683e-1	91.626686	2.898253158143e-4	27243664	true	30	0
1813.886	LL01	1809.229651	5.98441604906285285e-1	92.067939	2.861271381927e-4	27392277	true	37	0
1823.908	LL01	1819.267235	6.01557038052590198e-1	92.547237	3.103767880235e-4	27536993	true	37	0
1833.934	LL01	1829.324645	6.04424297076760819e-1	92.988353	2.850892135666e-4	27685729	true	39	0
1843.960	LL01	1839.378001	6.07342404198323416e-1	93.437293	2.902619722358e-4	27834145	true	44	0
1853.977	LL01	1849.399643	6.10424185441546419e-1	93.911413	3.075126132126e-4	27979194	true	44	0
1864.001	LL01	1859.421562	6.13277188144483176e-1	94.350337	2.846762824290e-4	28127914	true	44	0
1874.028	LL01	1869.496267	6.16234695197448668e-1	94.805338	2.935576826285e-4	28275919	true	44	0
1884.052	LL01	1879.530480	6.19284778291595339e-1	95.274581	3.039683690309e-4	28421580	true	47	0
1894.078	LL01	1889.544643	6.22120655869769723e-1	95.710870	2.831866746116e-4	28569528	true	47	0
1904.095	LL01	1899.592826	6.25132644768464973e-1	96.174253	2.997545823653e-4	28716097	true	48	0
1914.122	LL01	1909.640314	6.28109799065822538e-1	96.632277	2.963083048275e-4	28862313	true	52	0
1924.141	LL01	1919.745319	6.30967422760292829e-1	97.071911	2.827929200645e-4	29011337	true	52	0
1934.164	LL01	1929.803860	6.33986885461318872e-1	97.536444	3.001889253492e-4	29155793	true	52	0
1944.188	LL01	1939.824703	6.36924481027680844e-1	97.988382	2.931485324925e-4	29302538	true	54	0
1954.207	LL01	1949.853248	6.39771827731512532e-1	98.426435	2.839242193462e-4	29450530	true	54	0
1964.233	LL01	1959.867525	6.42870022596644719e-1	98.903080	3.093777775579e-4	29595615	true	55	0
1974.257	LL01	1969.891874	6.45754490732268094e-1	99.346845	2.877461935345e-4	29743636	true	56	0
1984.284	LL01	1979.974692	6.48648168759232036e-1	99.792026	2.869910101057e-4	29892815	true	56	0
1989.298	LL01	1984.421459	6.50000000000000022e-1	100.000000	3.040031390821e-4	29955738	true	56	0
