role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
RIGHT	9	23852725	5.23466964268402779e-1	9.27102485005501933e1	3.80580390390440073e2	3.80517076863886132e2	3.81808699311324858e2	-8.09443204918844922e-6	3.78799420413844512e0	7.63617398622649252e-10	1.32632560739220124e-9	-3.78800393478894648e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	10	23995086	5.26557423538907998e-1	-9.40131783418693203e1	3.78312307561913997e2	3.78243975811320922e2	3.79547206309091507e2	-6.05416772840339205e-6	4.13211621945781804e0	7.59094412618182677e-10	1.26308846613943707e-9	4.13212794977604148e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	10	23995087	5.26557423538908109e-1	-9.40131783418733420e1	3.78312307561912121e2	3.78243975811320979e2	3.79547206309087017e2	-6.05416776489847490e-6	4.13211621932131479e0	7.59094412618173682e-10	1.25445938537947022e-9	4.13212794960346042e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	10	23995088	5.26557423538908109e-1	-9.40131783418733420e1	3.78312307561911268e2	3.78243975811321150e2	3.79547206309084856e2	-6.05416778214367522e-6	4.13211621925216921e0	7.59094412618169339e-10	1.27625085479600774e-9	4.13212794952378459e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	10	23995089	5.26557423538908109e-1	-9.40131783418733278e1	3.78312307561910245e2	3.78243975811321263e2	3.79547206309082071e2	-6.05416780502281609e-6	4.13211621916422533e0	7.59094412618163652e-10	1.23909461323289477e-9	4.13212794949945028e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	10	23995090	5.26557423538908220e-1	-9.40131783418813995e1	3.78312307561907801e2	3.78243975811321320e2	3.79547206309076216e2	-6.05416785351336523e-6	4.13211621898834025e0	7.59094412618151968e-10	1.26040735303523894e-9	4.13212794931141403e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	11	23996269	5.26580668614575198e-1	-9.52476618104068535e1	3.78305884892881352e2	3.78236079713451829e2	3.79542661450933849e2	-8.87803732762834253e-6	4.23275910992005677e0	7.59085322901867306e-10	1.21466987275896451e-9	4.23277070733536664e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	11	23996270	5.26580668614575309e-1	-9.52476618104148258e1	3.78305884892879021e2	3.78236079713452057e2	3.79542661450928449e2	-8.87803737004891466e-6	4.23275910975020864e0	7.59085322901856449e-10	1.18714276327160788e-9	4.23277070714873815e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	11	23996271	5.26580668614575309e-1	-9.52476618104148258e1	3.78305884892877827e2	3.78236079713452170e2	3.79542661450925607e2	-8.87803739252944521e-6	4.23275910966354374e0	7.59085322901850762e-10	1.21558277536191066e-9	4.23277070706287439e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	11	23996272	5.26580668614575420e-1	-9.52476618104188333e1	3.78305884892876293e2	3.78236079713452341e2	3.79542661450921798e2	-8.87803742363786184e-6	4.23275910954833012e0	7.59085322901843214e-10	1.21268454169595389e-9	4.23277070698118774e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	12	24408020	5.34907083330761979e-1	9.48809929118090452e1	3.78724748528181863e2	3.78655893185704429e2	3.79960327457850383e2	-4.18348597888935877e-6	4.16844130038870375e0	7.59920654915700287e-10	1.29821465131139792e-9	-4.16845295354323753e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	12	24408021	5.34907083330762090e-1	9.48809929118170601e1	3.78724748528180385e2	3.78655893185704542e2	3.79960327457846859e2	-4.18348600990694975e-6	4.16844130027363846e0	7.59920654915693359e-10	1.27281178614507384e-9	-4.16845295343961197e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	12	24408022	5.34907083330762090e-1	9.48809929118170601e1	3.78724748528179532e2	3.78655893185704713e2	3.79960327457844869e2	-4.18348602727679181e-6	4.16844130021145709e0	7.59920654915689327e-10	1.26189809447787269e-9	-4.16845295322025322e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	12	24408023	5.34907083330762090e-1	9.48809929118170459e1	3.78724748528178452e2	3.78655893185704826e2	3.79960327457842595e2	-4.18348604781728912e-6	4.16844130013349368e0	7.59920654915684777e-10	1.26016125388532576e-9	-4.16845295334775301e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	12	24408024	5.34907083330762201e-1	9.48809929118210533e1	3.78724748528176519e2	3.78655893185704940e2	3.79960327457838048e2	-4.18348608746728762e-6	4.16844129997756685e0	7.59920654915675678e-10	1.17066326944641812e-9	-4.16845295317273212e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
