 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(pwm_input)             v(driver_out)            v(gate)                  v(xdriver.pwm_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)    
 5.01554916612470980e-01  5.00000000000000000e+00  6.25452467595266626e-01  0.00000000000000000e+00  1.87635740278579988e+00  1.69906378992414941e+00  2.62897213954316498e-19  2.62442492318322346e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62942686117915956e-19 
 5.01554916620306379e-01  5.00000000000000000e+00  6.64629462576726837e-01  0.00000000000000000e+00  1.99388838773018051e+00  1.80548948495252559e+00  2.62897195115995440e-19  2.62442504784461468e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62942664149148885e-19 
 5.01554916634018189e-01  5.00000000000000000e+00  7.33188509904891816e-01  0.00000000000000000e+00  2.19956552971467545e+00  1.99173256627706841e+00  2.62897162171967602e-19  2.62442526594960624e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62942625729668319e-19 
 5.01554916637813486e-01  5.00000000000000000e+00  7.52164996953297305e-01  0.00000000000000000e+00  2.25649499085989191e+00  2.04328286573927231e+00  2.62897153058303545e-19  2.62442532630884966e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62942615101045379e-19 
 5.01554916644455173e-01  5.00000000000000000e+00  7.85373432954372674e-01  0.00000000000000000e+00  2.35612029886311802e+00  2.13349475881305972e+00  2.62897137115206250e-19  2.62442543192247691e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62942596507502169e-19 
 5.01554916645109428e-01  5.00000000000000000e+00  7.88644705096430698e-01  0.00000000000000000e+00  2.36593411528929209e+00  2.14238128549817786e+00  2.87609067084069584e-19  2.62442611130290018e-19  9.99900009999000154e-05  1.55828916792579189e-15  2.90125712679447546e-19 
 5.01554916646417936e-01  5.00000000000000000e+00  7.95187249380546746e-01  0.00000000000000000e+00  2.38556174814164024e+00  2.16015433886841457e+00  3.37030141475256001e-19  2.62443148375276245e-19  9.99900009999000154e-05  2.62935575072133335e-19  3.44488840785254049e-19 
 5.01554916649035065e-01  5.00000000000000000e+00  8.08272893060291153e-01  0.00000000000000000e+00  2.42481867918087346e+00  2.19570195358897990e+00  3.37018993864651870e-19  2.62444757874122842e-19  9.99900009999000154e-05  2.62935575072133383e-19  3.44476417463704845e-19 
 5.01554916649292082e-01  5.00000000000000000e+00  8.09557976211294772e-01  0.00000000000000000e+00  2.42867392863388432e+00  2.19919292750312367e+00  9.34725527041685948e-05  9.94134803767273527e-11  9.99990000099998944e-01  1.49999999999999716e+01  1.02819798033237426e-04 
 5.01554916649409543e-01  5.00000000000000000e+00  8.10145284191321480e-01  0.00000000000000000e+00  2.43043585257396444e+00  2.20078837044099140e+00  1.78902256242401229e-04  2.31794070101765748e-10  9.99990000099998944e-01  1.49999999999999716e+01  1.96792458687234349e-04 
