 time            v(out)          i(Lboost)       v(anode)       
 4.96002437e-07  4.20784976e+02  1.93811483e+01  4.21595703e+02 
 5.01002437e-07  4.20991124e+02  1.93746199e+01  4.21801835e+02 
 5.06002437e-07  4.21197202e+02  1.93680857e+01  4.22007898e+02 
 5.11002437e-07  4.21403211e+02  1.93615459e+01  4.22213892e+02 
 5.16002437e-07  4.21609150e+02  1.93550003e+01  4.22419815e+02 
 5.21002437e-07  4.21815019e+02  1.93484490e+01  4.22625669e+02 
 5.26002437e-07  4.22020819e+02  1.93418920e+01  4.22831454e+02 
 5.31002437e-07  4.22226549e+02  1.93353293e+01  4.23037168e+02 
 5.36002437e-07  4.22432209e+02  1.93287609e+01  4.23242813e+02 
 5.41002437e-07  4.22637799e+02  1.93221867e+01  4.23448388e+02 
 5.46002437e-07  4.22843319e+02  1.93156068e+01  4.23653893e+02 
 5.51002437e-07  4.23048769e+02  1.93090213e+01  4.23859327e+02 
 5.56002437e-07  4.23254149e+02  1.93024300e+01  4.24064692e+02 
 5.61002437e-07  4.23459459e+02  1.92958330e+01  4.24269986e+02 
 5.66002437e-07  4.23664699e+02  1.92892304e+01  4.24475211e+02 
 5.71002437e-07  4.23869868e+02  1.92826220e+01  4.24680364e+02 
 5.76002437e-07  4.24074967e+02  1.92760079e+01  4.24885448e+02 
 5.81002437e-07  4.24279996e+02  1.92693881e+01  4.25090461e+02 
 5.86002437e-07  4.24484954e+02  1.92627627e+01  4.25295404e+02 
 5.91002437e-07  4.24689842e+02  1.92561315e+01  4.25500276e+02 
 5.96002437e-07  4.24894659e+02  1.92494947e+01  4.25705078e+02 
 6.01002437e-07  4.25099406e+02  1.92428521e+01  4.25909809e+02 
 6.06002437e-07  4.25304081e+02  1.92362039e+01  4.26114469e+02 
 6.11002437e-07  4.25508686e+02  1.92295500e+01  4.26319058e+02 
 6.16002437e-07  4.25713221e+02  1.92228904e+01  4.26523577e+02 
