 time            v(out)          i(Lboost)       v(anode)       
 6.13010763e-07  4.19403693e+02  2.24291021e+01  4.20221245e+02 
 6.18010763e-07  4.19642263e+02  2.24221401e+01  4.20459801e+02 
 6.23010763e-07  4.19880760e+02  2.24151714e+01  4.20698282e+02 
 6.28010763e-07  4.20119182e+02  2.24081960e+01  4.20936689e+02 
 6.33010763e-07  4.20357530e+02  2.24012141e+01  4.21175022e+02 
 6.38010763e-07  4.20595803e+02  2.23942255e+01  4.21413281e+02 
 6.43010763e-07  4.20834003e+02  2.23872303e+01  4.21651465e+02 
 6.48010763e-07  4.21072127e+02  2.23802285e+01  4.21889574e+02 
 6.53010763e-07  4.21310178e+02  2.23732201e+01  4.22127610e+02 
 6.58010763e-07  4.21548153e+02  2.23662051e+01  4.22365570e+02 
 6.63010763e-07  4.21786054e+02  2.23591834e+01  4.22603456e+02 
 6.68010763e-07  4.22023880e+02  2.23521552e+01  4.22841267e+02 
 6.73010763e-07  4.22261632e+02  2.23451204e+01  4.23079003e+02 
 6.78010763e-07  4.22499308e+02  2.23380789e+01  4.23316665e+02 
 6.83010763e-07  4.22736910e+02  2.23310309e+01  4.23554251e+02 
 6.88010763e-07  4.22974437e+02  2.23239762e+01  4.23791762e+02 
 6.93010763e-07  4.23211888e+02  2.23169150e+01  4.24029199e+02 
 6.98010763e-07  4.23449265e+02  2.23098471e+01  4.24266560e+02 
 7.03010763e-07  4.23686566e+02  2.23027727e+01  4.24503846e+02 
 7.08010763e-07  4.23923792e+02  2.22956917e+01  4.24741056e+02 
 7.13010763e-07  4.24160942e+02  2.22886041e+01  4.24978191e+02 
 7.18010763e-07  4.24398017e+02  2.22815099e+01  4.25215251e+02 
 7.23010763e-07  4.24635017e+02  2.22744091e+01  4.25452235e+02 
 7.28010763e-07  4.24871941e+02  2.22673017e+01  4.25689144e+02 
 7.33010763e-07  4.25108789e+02  2.22601878e+01  4.25925977e+02 
 7.38010763e-07  4.25345562e+02  2.22530673e+01  4.26162734e+02 
 7.43010763e-07  4.25582259e+02  2.22459402e+01  4.26399416e+02 
 7.48010763e-07  4.25818879e+02  2.22388065e+01  4.26636021e+02 
 7.53010763e-07  4.26055425e+02  2.22316663e+01  4.26872551e+02 
 7.58010763e-07  4.26291894e+02  2.22245194e+01  4.27109004e+02 
 7.63010763e-07  4.26528287e+02  2.22173661e+01  4.27345382e+02 
 7.68010763e-07  4.26764603e+02  2.22102061e+01  4.27581683e+02 
 7.73010763e-07  4.27000844e+02  2.22030396e+01  4.27817908e+02 
 7.78010763e-07  4.27237008e+02  2.21958666e+01  4.28054057e+02 
 7.83010763e-07  4.27473096e+02  2.21886869e+01  4.28290130e+02 
 7.88010763e-07  4.27709108e+02  2.21815008e+01  4.28526126e+02 
 7.93010763e-07  4.27945043e+02  2.21743080e+01  4.28762045e+02 
 7.98010763e-07  4.28180902e+02  2.21671087e+01  4.28997888e+02 
 8.03010763e-07  4.28416684e+02  2.21599029e+01  4.29233655e+02 
 8.08010763e-07  4.28652389e+02  2.21526905e+01  4.29469344e+02 
 8.13010763e-07  4.28888018e+02  2.21454716e+01  4.29704957e+02 
 8.18010763e-07  4.29123569e+02  2.21382461e+01  4.29940493e+02 
 8.23010763e-07  4.29359044e+02  2.21310141e+01  4.30175952e+02 
 8.28010763e-07  4.29594442e+02  2.21237755e+01  4.30411334e+02 
 8.33010763e-07  4.29829763e+02  2.21165304e+01  4.30646639e+02 
 8.38010763e-07  4.30065006e+02  2.21092788e+01  4.30881867e+02 
 8.43010763e-07  4.30300173e+02  2.21020207e+01  4.31117018e+02 
 8.48010763e-07  4.30535262e+02  2.20947560e+01  4.31352091e+02 
 8.53010763e-07  4.30770274e+02  2.20874847e+01  4.31587088e+02 
 8.58010763e-07  4.31005208e+02  2.20802070e+01  4.31822006e+02 
 8.63010763e-07  4.31240065e+02  2.20729227e+01  4.32056848e+02 
 8.68010763e-07  4.31474845e+02  2.20656319e+01  4.32291611e+02 
 8.73010763e-07  4.31709547e+02  2.20583346e+01  4.32526297e+02 
 8.78010763e-07  4.31944171e+02  2.20510308e+01  4.32760906e+02 
 8.83010763e-07  4.32178718e+02  2.20437204e+01  4.32995436e+02 
 8.88010763e-07  4.32413186e+02  2.20364036e+01  4.33229889e+02 
 8.93010763e-07  4.32647577e+02  2.20290802e+01  4.33464264e+02 
 8.98010763e-07  4.32881890e+02  2.20217503e+01  4.33698561e+02 
 9.03010763e-07  4.33116125e+02  2.20144139e+01  4.33932780e+02 
 9.08010763e-07  4.33350282e+02  2.20070710e+01  4.34166921e+02 
 9.13010763e-07  4.33584361e+02  2.19997216e+01  4.34400984e+02 
 9.18010763e-07  4.33818361e+02  2.19923657e+01  4.34634968e+02 
 9.23010763e-07  4.34052283e+02  2.19850033e+01  4.34868874e+02 
 9.28010763e-07  4.34286127e+02  2.19776344e+01  4.35102702e+02 
 9.33010763e-07  4.34519892e+02  2.19702591e+01  4.35336451e+02 
 9.38010763e-07  4.34753579e+02  2.19628772e+01  4.35570122e+02 
 9.43010763e-07  4.34987187e+02  2.19554888e+01  4.35803714e+02 
 9.48010763e-07  4.35220717e+02  2.19480940e+01  4.36037228e+02 
 9.53010763e-07  4.35454168e+02  2.19406926e+01  4.36270663e+02 
 9.58010763e-07  4.35687540e+02  2.19332848e+01  4.36504019e+02 
 9.63010763e-07  4.35920834e+02  2.19258705e+01  4.36737296e+02 
 9.68010763e-07  4.36154048e+02  2.19184497e+01  4.36970494e+02 
 9.73010763e-07  4.36387184e+02  2.19110224e+01  4.37203613e+02 
 9.78010763e-07  4.36620240e+02  2.19035887e+01  4.37436654e+02 
 9.83010763e-07  4.36853217e+02  2.18961485e+01  4.37669615e+02 
 9.88010763e-07  4.37086115e+02  2.18887018e+01  4.37902497e+02 
 9.93010763e-07  4.37318934e+02  2.18812487e+01  4.38135299e+02 
 9.98010763e-07  4.37551674e+02  2.18737891e+01  4.38368022e+02 
 1.00301076e-06  4.37784334e+02  2.18663230e+01  4.38600666e+02 
