role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	24	25914621	5.65114582646871200e-1	-9.37285877363766815e1	3.82485976753424609e2	3.82422470824360232e2	3.83714521280399765e2	-5.24895700595828464e-6	3.80004924572046754e0	3.83714521280399420e-10	1.33405410042434864e-9	3.80005896019647516e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	24	25914622	5.65114582646871311e-1	-9.37285877363686097e1	3.82485976753422563e2	3.82422470824360403e2	3.83714521280395047e2	-5.24895704566132604e-6	3.80004924557818091e0	3.83714521280394664e-10	1.37776059340473491e-9	3.80005896006472099e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	24	25914623	5.65114582646871311e-1	-9.37285877363686097e1	3.82485976753421539e2	3.82422470824360460e2	3.83714521280392546e2	-5.24895706695853124e-6	3.80004924550263556e0	3.83714521280392183e-10	1.36182437442730658e-9	3.80005895987236375e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	24	25914624	5.65114582646871422e-1	-9.37285877363646165e1	3.82485976753420118e2	3.82422470824360516e2	3.83714521280389476e2	-5.24895709296067242e-6	3.80004924540568911e0	3.83714521280389081e-10	1.34840836364184404e-9	3.80005895986767417e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	25	26058602	5.68236027028579893e-1	9.46480186875066067e1	3.80188959157603449e2	3.80120175014706547e2	3.81424397515584474e2	-4.25912571239968235e-6	4.16092180885512608e0	3.81424397515584091e-10	1.22652790463115125e-9	-4.16093354027805162e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	25	26058603	5.68236027028580004e-1	9.46480186875146217e1	3.80188959157601687e2	3.80120175014706717e2	3.81424397515579869e2	-4.25912575175791697e-6	4.16092180871441464e0	3.81424397515579541e-10	1.28190679258260960e-9	-4.16093354013105454e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	25	26058604	5.68236027028580004e-1	9.46480186875146217e1	3.80188959157600891e2	3.80120175014706831e2	3.81424397515577596e2	-4.25912577191990405e-6	4.16092180864151739e0	3.81424397515577215e-10	1.29797164838914095e-9	-4.16093354001611715e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	25	26058605	5.68236027028580115e-1	9.46480186875146217e1	3.80188959157599811e2	3.80120175014706945e2	3.81424397515574867e2	-4.25912579672778891e-6	4.16092180854983695e0	3.81424397515574527e-10	1.25866536762674377e-9	-4.16093353982682856e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	26	26059009	5.68243770953571148e-1	9.50588423836564544e1	3.80186788754512634e2	3.80117497372000116e2	3.81422880377821855e2	-3.31611832583113687e-6	4.19591921133075729e0	3.81422880377821486e-10	1.26206619709277282e-9	-4.19593089842004474e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	26	26059010	5.68243770953571259e-1	9.50588423836604477e1	3.80186788754510815e2	3.80117497372000230e2	3.81422880377817705e2	-3.31611836383266612e-6	4.19591921120180711e0	3.81422880377817299e-10	1.28351615435510276e-9	-4.19593089818363296e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	26	26059011	5.68243770953571259e-1	9.50588423836604335e1	3.80186788754509735e2	3.80117497372000344e2	3.81422880377815545e2	-3.31611838276620301e-6	4.19591921112897026e0	3.81422880377815127e-10	1.23839705326989963e-9	-4.19593089811468190e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
