role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
GROUP	55	30667224	6.54308018829671378e-1	1.69464730907498677e2	3.84251208013788812e2	3.84250960586892404e2	1.22283996457203392e-1	9.29445776605967349e-7	1.22283996916624631e2	1.22283996457203529e2	-1.63149443540752100e-9	-1.22283993119085608e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	55	30667225	6.54308018829671378e-1	1.69464730907498733e2	3.84251208013788926e2	3.84250960586892461e2	1.22283996457210359e-1	9.29445776637645322e-7	1.22283996916631537e2	1.22283996457210492e2	-1.63149822992478237e-9	-1.22283993118295598e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	55	30667226	6.54308018829671378e-1	1.69464730907498705e2	3.84251208013788926e2	3.84250960586892575e2	1.22283996457224278e-1	9.29445776702637843e-7	1.22283996916645407e2	1.22283996457224404e2	-1.63148170193072140e-9	-1.22283993117807086e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	55	30667227	6.54308018829671378e-1	1.69464730907498677e2	3.84251208013788869e2	3.84250960586892688e2	1.22283996457252034e-1	9.29445776839466274e-7	1.22283996916673075e2	1.22283996457252158e2	-1.63149236321589612e-9	-1.22283993117469549e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	55	30667228	6.54308018829671489e-1	1.69464730907498165e2	3.84251208013788926e2	3.84250960586892631e2	1.22283996457307462e-1	9.29445777140956852e-7	1.22283996916728427e2	1.22283996457307595e2	-1.63147909624728273e-9	-1.22283993117829823e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	56	30671985	6.54331643829670240e-1	1.69377504881742084e2	3.84230046435607221e2	3.84229799022376199e2	1.38259954168992311e-1	8.86922682839524045e-7	1.38259954611080161e2	1.38259954168992465e2	-1.60393734018097811e-9	-1.38259950902039463e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	56	30671986	6.54331643829670684e-1	1.69377504881740606e2	3.84230046435606823e2	3.84229799022375857e2	1.38259954169298455e-1	8.86922683161588841e-7	1.38259954611386263e2	1.38259954169298595e2	-1.60393599326596907e-9	-1.38259950902345849e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	56	30671987	6.54331643829670684e-1	1.69377504881740606e2	3.84230046435606710e2	3.84229799022375914e2	1.38259954169304505e-1	8.86922683174770050e-7	1.38259954611392317e2	1.38259954169304649e2	-1.60391296897273587e-9	-1.38259950902180890e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	56	30671988	6.54331643829670684e-1	1.69377504881740634e2	3.84230046435606539e2	3.84229799022375971e2	1.38259954169316607e-1	8.86922683202538226e-7	1.38259954611404396e2	1.38259954169316757e2	-1.60385905327025627e-9	-1.38259950902198057e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	56	30671989	6.54331643829670684e-1	1.69377504881740578e2	3.84230046435606369e2	3.84229799022376085e2	1.38259954169340837e-1	8.86922683263853035e-7	1.38259954611428554e2	1.38259954169340972e2	-1.60378526441228135e-9	-1.38259950902449759e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	56	30671990	6.54331643829670795e-1	1.69377504881740322e2	3.84230046435606369e2	3.84229799022376142e2	1.38259954169389215e-1	8.86922683409656945e-7	1.38259954611476928e2	1.38259954169389374e2	-1.60383584044135606e-9	-1.38259950902413834e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	57	30673565	6.54339523978142434e-1	1.69345422017906088e2	3.84222988223768823e2	3.84222740815098973e2	1.43424379333050994e-1	8.73149338888901456e-7	1.43424379769550200e2	1.43424379333051149e2	-1.59446214737454275e-9	-1.43424376089908492e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
