role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	23	25564558	5.56896627892072504e-1	9.52323008302096241e1	-1.00473600335089941e0	-6.42718619234586086e0	3.79480191186681736e2	3.79534863387466771e2	6.42717699374642137e0	3.79637473756832208e2	3.80911318995970248e2	-1.11723700113627771e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16169614920419040e0	3.09656561864410262e0
GROUP	23	25564559	5.56896627892072504e-1	9.52323008302527256e1	-1.00473600330779789e0	-6.42718615945722505e0	3.79480191186681736e2	3.79534863387466771e2	6.42717699367266082e0	3.79637473756831071e2	3.80911318995968202e2	-1.11723700258758397e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16169614920418995e0	3.09656561864361102e0
RIGHT	23	25564560	5.56896627892072615e-1	9.52323008317518571e1	-1.00473600179957145e0	-6.42718620425740728e0	3.79480191186681679e2	3.79534863387466714e2	6.42717699357920935e0	3.79637473756829706e2	3.80911318995965644e2	-1.11723700441970149e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16169614920418907e0	3.09656561864298840e0
LEFT	24	26106636	5.68119866852038191e-1	9.62148904880524896e1	-1.01495513238899093e0	-6.82238762999523729e0	3.75978705457707008e2	3.76032873194925116e2	6.82237617692685738e0	3.76141222966115492e2	3.77421180970005196e2	-6.18853468550102216e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16769176768736216e0	3.06717412313101745e0
GROUP	24	26106637	5.68119866852038302e-1	9.62148904882596696e1	-1.01495513219087741e0	-6.82238761695245177e0	3.75978705457707235e2	3.76032873194925344e2	6.82237617677250885e0	3.76141222966113673e2	3.77421180970000762e2	-6.18853472264530409e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16769176768736305e0	3.06717412313037396e0
GROUP	24	26106638	5.68119866852038302e-1	9.62148904882326690e1	-1.01495513221787803e0	-6.82238766264668950e0	3.75978705457707235e2	3.76032873194925344e2	6.82237617669113661e0	3.76141222966112650e2	3.77421180969998375e2	-6.18853474218080781e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16769176768736349e0	3.06717412313003468e0
RIGHT	24	26106639	5.68119866852038413e-1	9.62148904876045066e1	-1.01495513285057370e0	-6.82238768043243660e0	3.75978705457707292e2	3.76032873194925401e2	6.82237617658555617e0	3.76141222966111229e2	3.77421180969995305e2	-6.18853476820364201e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16769176768736394e0	3.06717412312959548e0
LEFT	25	26383964	5.73557236649655078e-1	9.55964559242398906e1	-1.00563725056291275e0	-6.46182249233873840e0	3.80412765795070527e2	3.80467572353082687e2	6.46181328962121793e0	3.80570724283776315e2	3.81845110503883291e2	-1.42790577159730192e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16594543491879454e0	3.11106432463713301e0
GROUP	25	26383965	5.73557236649655189e-1	9.55964559247146326e1	-1.00563725007908999e0	-6.46182248898482126e0	3.80412765795070698e2	3.80467572353082858e2	6.46181328947774425e0	3.80570724283774268e2	3.81845110503879255e2	-1.42790577435139600e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16594543491879366e0	3.11106432463615556e0
GROUP	25	26383966	5.73557236649655189e-1	9.55964559275390826e1	-1.00563724725463999e0	-6.46182242724716716e0	3.80412765795070754e2	3.80467572353082915e2	6.46181328940561883e0	3.80570724283773473e2	3.81845110503877095e2	-1.42790577583633692e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16594543491879277e0	3.11106432463566396e0
